OBJECTID,LONGITUDE,LATITUDE,city_1,state,zip
6626,-96.769819,32.861741,DALLAS,TX,75206
6627,-96.399251,30.171169,BRENHAM,TX,77833
6628,-96.571895,33.701243,DENISON,TX,75020
6629,-95.557064,29.557181,MISSOURI CITY,TX,77459
6630,-101.944132,33.519723,LUBBOCK,TX,79424
6631,-97.365829,31.07892,TEMPLE,TX,76508
6632,-98.449051,29.474894,SAN ANTONIO,TX,78209
6633,-99.75565,34.298074,QUANAH,TX,79252
6634,-98.186612,31.071385,LAMPASAS,TX,76550
6635,-98.492203,28.966773,PLEASANTON,TX,78064
6636,-96.706301,33.021388,PLANO,TX,75074
6637,-98.639611,29.583713,SAN ANTONIO,TX,78249
6638,-97.906363,30.358767,AUSTIN,TX,79711
6639,-97.1615,32.873496,COLLEYVILLE,TX,76034
6640,-93.989182,29.933669,PORT ARTHUR,TX,77642
6641,-97.365829,31.07892,TEMPLE,TX,76508
6642,-98.49923,29.51597,SAN ANTONIO,TX,78216
6643,-94.869169,32.374259,KILGORE,TX,75662
6644,-98.181366,26.263064,EDINBURG,TX,78538
6645,-95.488129,30.421996,WILLIS,TX,77378
6646,-95.488129,30.421996,WILLIS,TX,77378
6647,-94.869305,32.370451,KILGORE,TX,75662
6648,-97.704435,30.331286,AUSTIN,TX,78752
6649,-102.729529,34.221565,MULESHOE,TX,79347
6650,-97.048531,32.571488,GRAND PRAIRIE,TX,75054
6651,-97.388182,32.352292,CLEBURNE,TX,76033
6652,-98.573811,29.507791,SAN ANTONIO,TX,78229
6653,-95.367226,29.748405,HOUSTON,TX,77002
6654,-97.395733,32.640235,FORT WORTH,TX,76133
6655,-96.798962,32.960433,DALLAS,TX,75248
6656,-96.777853,32.791308,DALLAS,TX,75246
6657,-101.732172,34.204848,PLAINVIEW,TX,79072
6658,-97.732318,28.406895,BEEVILLE,TX,78102
6659,-97.974452,26.15113,WESLACO,TX,78596
6660,-97.39522,27.777536,CORPUS CHRISTI,TX,78404
6661,-96.84459,32.817629,DALLAS,TX,75235
6662,-97.805183,30.277832,AUSTIN,tx,78746
6663,-97.27466,27.692402,CORPUS CHRISTI,TX,78419
6664,-97.595207,33.218498,DECATUR,TX,76234
6665,-95.36064,29.773768,HOUSTON,TX,77009
6666,-96.571895,33.701243,DENISON,TX,75020
6667,-96.169653,31.725601,FAIRFIELD,TX,75840
6668,-97.873074,33.477278,BOWIE,TX,76230
6669,-98.579458,29.510074,SAN ANTONIO,TX,78229
6670,-97.168215,33.215671,DENTON,TX,76201
6671,-97.30001,32.676917,FORT WORTH,TX,76119
6672,-95.41864,29.733111,HOUSTON,TX,77098
6673,-97.699268,30.285808,AUSTIN,TX,78713
6674,-95.418292,29.817438,HOUSTON,TX,77018
6675,-95.233484,33.176351,MOUNT VERNON,TX,75457
6676,-96.816535,33.109234,FRISCO,TX,75034
6677,-95.438731,30.023452,HOUSTON,TX,77090
6678,-97.686237,30.559913,ROUND ROCK,TX,78665
6679,-96.772131,32.909478,DALLAS,TX,75230
6680,-97.967211,29.859583,SAN MARCOS,TX,78666
6681,-98.569253,29.515987,SAN ANTONIO,TX,78229
6682,-97.201147,32.99514,TROPHY CLUB,TX,76262
6683,-98.44348,29.461844,SAN ANTONIO,TX,78234
6684,-97.676506,29.868434,LOCKHART,TX,78644
6685,-97.69439,30.213071,AUSTIN,TX,78744
6686,-101.922354,33.532744,LUBBOCK,TX,79424
6687,-94.935081,30.730019,LIVINGSTON,TX,77351
6688,-95.436594,29.736569,HOUSTON,TX,77027
6689,-97.114659,32.70123,ARLINGTON,TX,76015
6690,-96.679173,33.111067,ALLEN,TX,75013
6691,-97.733359,30.275164,AUSTIN,TX,78701
6692,-95.397855,29.706136,HOUSTON,TX,77230
6693,-95.631982,31.735857,PALESTINE,TX,75801
6694,-95.777523,29.790364,KATY,TX,77493
6695,-95.910018,30.941999,MADISONVILLE,TX,77864
6696,-96.589818,32.856853,GARLAND,TX,75043
6697,-98.502131,29.430466,SAN ANTONIO,TX,78207
6698,-97.736666,30.697084,GEORGETOWN,TX,78633
6699,-98.625088,29.382213,LACKLAND AFB,TX,78236
6700,-94.789709,32.143091,HENDERSON,TX,75654
6701,-97.464022,31.085842,BELTON,TX,76513
6702,-96.707776,33.142298,MCKINNEY,TX,75070
